,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2013-09-30,40.5,43.24,47.14,39.88,1388215,6114244336.0,16.29,-2.96,-1.32,20.23
1,2013-10-31,43.0,48.4,50.8,42.9,1820574,8505449178.0,18.27,11.93,5.16,26.53
2,2013-11-29,47.79,47.91,48.79,44.61,1156384,5396243250.0,8.64,-1.01,-0.49,16.85
3,2013-12-31,47.02,50.0,52.0,46.0,1599431,7909862213.0,12.52,4.36,2.09,23.3
4,2014-01-30,49.4,46.86,49.82,45.8,875423,4170615405.0,8.04,-6.28,-3.14,12.76
5,2014-02-28,46.41,38.94,47.19,37.74,1299093,5588945037.0,20.17,-16.9,-7.92,18.93
6,2014-03-31,38.5,45.08,47.14,38.45,1590712,6718144827.0,22.32,15.77,6.14,23.18
7,2014-04-30,45.08,17.27,48.26,17.14,2811419,12300575809.0,69.03,-61.69,-27.81,16.39
8,2014-05-30,17.23,17.42,17.69,16.31,2571069,4382511749.0,7.99,0.87,0.15,14.98
9,2014-06-30,17.47,19.32,19.76,17.19,3351981,6184242982.0,14.75,10.91,1.9,19.54
10,2014-07-31,19.29,21.38,21.44,18.66,3744485,7376128546.0,14.39,10.66,2.06,21.82
11,2014-08-29,21.31,22.0,22.8,20.86,3610032,7807060990.0,9.07,2.9,0.62,21.04
12,2014-09-30,21.99,19.89,22.54,19.71,4529347,9539761653.0,12.86,-9.59,-2.11,20.23
13,2014-10-31,19.94,20.9,20.96,19.4,3842746,7759779168.0,7.84,5.08,1.01,17.17
14,2014-11-28,20.9,22.11,22.55,20.08,5958994,12875072618.0,11.82,5.79,1.21,26.62
15,2014-12-31,22.1,27.44,30.0,22.06,10273243,27197695152.0,35.91,24.11,5.33,45.89
16,2015-01-30,27.88,30.03,33.48,27.88,8432566,26131798080.0,20.41,9.44,2.59,37.67
17,2015-02-27,29.5,31.46,32.35,28.51,3347380,10187067456.0,12.79,4.76,1.43,14.95
18,2015-03-31,31.54,32.95,34.69,28.8,5844861,18359725168.0,18.72,4.74,1.49,26.11
19,2015-04-30,32.99,36.97,38.88,31.86,10218649,35893962080.0,21.31,12.2,4.02,45.65
20,2015-05-29,36.95,37.0,41.49,33.13,7441902,27076577216.0,22.61,0.08,0.03,33.07
21,2015-06-30,37.11,37.28,39.88,32.5,9491354,35318831280.0,19.95,0.76,0.28,41.93
22,2015-07-31,37.0,33.15,39.38,29.0,11244750,38765922896.0,27.84,-11.08,-4.13,49.67
23,2015-08-31,32.58,28.79,35.99,23.33,6444779,19209087424.0,38.19,-13.15,-4.36,28.78
24,2015-09-30,27.99,25.23,28.99,24.47,4304348,11575654936.0,15.7,-12.37,-3.56,19.22
25,2015-10-30,26.5,28.01,28.4,26.5,3835483,10505940016.0,7.53,11.02,2.78,17.13
26,2015-11-30,27.68,26.83,31.0,26.17,5647031,16266844336.0,17.24,-4.21,-1.18,25.22
27,2015-12-31,26.86,32.82,34.3,26.51,6034475,18463375760.0,29.03,22.33,5.99,26.93
28,2016-01-29,32.82,27.31,33.18,25.15,4119931,11847650981.0,24.47,-16.79,-5.51,18.39
29,2016-02-29,27.32,26.07,28.29,25.72,1697515,4640896190.0,9.41,-4.54,-1.24,7.58
30,2016-03-31,26.15,30.85,32.27,26.09,3684155,10977894258.0,23.71,18.34,4.78,16.44
31,2016-04-29,31.0,32.1,32.26,29.51,2633179,8103477716.0,8.91,4.05,1.25,11.75
32,2016-05-17,32.21,21.35,34.08,19.99,3538606,8460993648.0,43.89,-33.49,-10.75,10.52
33,2016-06-30,23.1,23.72,24.03,22.11,6963944,16008164752.0,8.99,11.1,2.37,20.57
34,2016-07-29,23.79,28.2,29.57,23.79,12854396,34365479072.0,24.37,18.89,4.48,37.75
35,2016-08-31,28.04,27.4,29.15,26.4,8476887,23466427696.0,9.75,-2.84,-0.8,24.88
36,2016-09-30,27.33,27.01,28.07,25.18,4191430,11168391736.0,10.55,-1.42,-0.39,6.83
37,2016-10-31,27.18,27.15,27.2,25.99,3480160,9259218976.0,4.48,0.52,0.14,5.67
38,2016-11-30,27.2,30.28,32.25,26.76,7687207,22045424224.0,20.22,11.53,3.13,12.51
39,2016-12-30,31.3,28.17,32.2,27.5,6887109,20101107408.0,15.52,-6.97,-2.11,11.2
40,2017-01-26,28.65,29.9,30.14,27.79,4930241,14338617024.0,8.34,6.14,1.73,7.98
41,2017-02-28,29.7,31.86,33.47,29.4,6047830,19040133088.0,13.61,6.56,1.96,9.78
42,2017-03-31,31.8,33.3,35.66,31.13,8279247,27813694432.0,14.22,4.52,1.44,13.38
43,2017-04-28,33.23,33.66,35.2,31.85,7157685,24007326624.0,10.06,1.08,0.36,11.57
44,2017-05-31,33.21,36.12,36.58,33.15,8735937,30876944592.0,10.19,7.31,2.46,13.9
45,2017-06-30,36.16,43.04,45.39,35.8,10320907,42020101376.0,26.55,19.16,6.92,16.36
46,2017-07-31,42.85,41.2,43.65,40.5,8467237,35521015136.0,7.32,-4.28,-1.84,13.38
47,2017-08-31,41.21,41.0,42.59,38.67,6453886,26160913584.0,9.51,-0.49,-0.2,10.19
