日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-12-30,49.8,48.9,50.87,46.92,124575,607117330.0,18.3,126.49,27.31,77.38
2019-12-31,46.0,51.1,51.8,45.0,90169,433586571.0,13.91,4.5,2.2,56.01
2020-01-02,50.65,49.81,54.24,49.66,76607,391584378.0,8.96,-2.52,-1.29,47.58
2020-01-03,50.0,48.89,51.88,47.88,66750,332720762.0,8.03,-1.85,-0.92,41.46
2020-01-06,48.62,47.27,48.8,46.2,51861,245564033.0,5.32,-3.31,-1.62,32.21
2020-01-07,47.62,52.18,53.3,47.3,77377,384206342.0,12.69,10.39,4.91,48.06
2020-01-08,50.8,49.32,50.8,48.91,56521,281993174.0,3.62,-5.48,-2.86,35.11
2020-01-09,49.8,50.12,51.45,49.78,51504,260530861.0,3.39,1.62,0.8,31.99
2020-01-10,50.5,51.0,51.5,49.9,36782,186110930.0,3.19,1.76,0.88,22.85
2020-01-13,51.4,51.59,52.02,50.1,34027,173673745.0,3.76,1.16,0.59,21.14
2020-01-14,51.5,50.66,51.6,50.38,36555,186008390.0,2.36,-1.8,-0.93,22.71
2020-01-15,50.84,49.15,50.88,48.95,28832,143379336.0,3.81,-2.98,-1.51,17.91
2020-01-16,49.31,51.64,52.29,49.0,51628,263260093.0,6.69,5.07,2.49,32.07
2020-01-17,52.28,54.11,56.8,52.2,69054,379050913.0,8.91,4.78,2.47,42.89
2020-01-20,53.9,54.22,56.21,51.52,49481,265021562.0,8.67,0.2,0.11,30.74
2020-01-21,53.28,53.69,55.41,52.77,31688,172008645.0,4.87,-0.98,-0.53,19.68
2020-01-22,52.85,57.85,59.77,52.12,53011,299371344.0,14.25,7.75,4.16,32.93
2020-01-23,56.71,55.74,58.0,53.2,41955,234833286.0,8.3,-3.65,-2.11,26.06
2020-02-03,45.0,44.59,47.64,44.59,34771,156961055.0,5.47,-20.0,-11.15,21.6
2020-02-04,44.93,49.11,49.9,44.93,43459,207672805.0,11.15,10.14,4.52,26.99
2020-02-05,48.83,50.68,53.18,48.66,39889,202518021.0,9.2,3.2,1.57,24.78
2020-02-06,50.1,53.22,54.38,50.1,38645,202492486.0,8.45,5.01,2.54,24.0
2020-02-07,53.7,55.99,56.5,52.52,45507,246994466.0,7.48,5.2,2.77,28.27
2020-02-10,55.01,55.11,56.71,53.13,36886,202833020.0,6.39,-1.57,-0.88,22.91
2020-02-11,56.68,55.15,61.2,55.15,54359,314319977.0,10.98,0.07,0.04,33.77
2020-02-12,52.52,56.99,58.68,52.01,48498,266345614.0,12.09,3.34,1.84,30.12
2020-02-13,56.35,57.35,59.58,56.12,44119,253833189.0,6.07,0.63,0.36,27.4
2020-02-14,57.0,55.66,58.85,54.37,38199,216917430.0,7.81,-2.95,-1.69,23.73
2020-02-17,56.03,58.1,58.1,56.03,31194,178270554.0,3.72,4.38,2.44,19.38
2020-02-18,57.82,58.68,59.56,57.4,35428,206787088.0,3.72,1.0,0.58,22.01
2020-02-19,58.45,56.26,58.45,56.01,29416,167869392.0,4.16,-4.12,-2.42,18.27
2020-02-20,55.99,55.8,56.86,54.16,23267,129152541.0,4.8,-0.82,-0.46,14.45
2020-02-21,55.7,55.72,57.12,55.01,20831,116963018.0,3.78,-0.14,-0.08,12.94
2020-02-24,55.9,56.09,56.3,54.58,20311,112809456.0,3.09,0.66,0.37,12.62
2020-02-25,55.01,55.02,55.94,53.01,25332,138389011.0,5.22,-1.91,-1.07,15.73
2020-02-26,54.01,50.8,55.18,49.5,31313,165252984.0,10.32,-7.67,-4.22,19.45
2020-02-27,51.5,50.47,51.72,49.62,17812,90368563.0,4.13,-0.65,-0.33,11.06
2020-02-28,48.0,47.41,49.59,46.8,23682,113926252.0,5.53,-6.06,-3.06,14.71
2020-03-02,48.4,49.69,50.3,48.1,17158,84406885.0,4.64,4.81,2.28,10.66
2020-03-03,54.15,51.27,54.97,50.88,34591,183699615.0,8.23,3.18,1.58,21.49
2020-03-04,50.3,51.27,51.98,49.91,19476,98981411.0,4.04,0.0,0.0,12.1
2020-03-05,52.0,51.07,52.49,50.53,16367,83969876.0,3.82,-0.39,-0.2,10.17
2020-03-06,50.2,50.49,51.0,49.64,12308,61918774.0,2.66,-1.14,-0.58,7.65
2020-03-09,49.23,47.54,49.45,47.29,14443,69631024.0,4.28,-5.84,-2.95,8.97
2020-03-10,47.04,49.3,49.35,47.01,14634,70751768.0,4.92,3.7,1.76,9.09
2020-03-11,49.19,48.06,49.97,48.01,11308,55585621.0,3.98,-2.52,-1.24,7.02
2020-03-12,47.3,46.8,47.77,46.3,10753,50536469.0,3.06,-2.62,-1.26,6.68
2020-03-13,44.01,45.85,46.38,43.81,16652,74787388.0,5.49,-2.03,-0.95,10.34
2020-03-16,46.08,42.33,46.8,42.3,13411,59785421.0,9.81,-7.68,-3.52,8.33
2020-03-17,43.0,43.0,43.54,41.11,12057,51327959.0,5.74,1.58,0.67,7.49
2020-03-18,43.2,42.0,44.19,42.0,12028,52226442.0,5.09,-2.33,-1.0,7.47
2020-03-19,42.22,43.72,44.0,41.4,14434,61327460.0,6.19,4.1,1.72,8.97
2020-03-20,43.85,43.88,44.61,42.91,9422,41250060.0,3.89,0.37,0.16,5.85
2020-03-23,42.81,40.92,42.9,40.5,9367,39301019.0,5.47,-6.75,-2.96,5.82
2020-03-24,41.9,41.73,42.3,40.11,7495,30992460.0,5.35,1.98,0.81,4.66
2020-03-25,42.54,42.42,43.02,42.17,8553,36464060.0,2.04,1.65,0.69,5.31
2020-03-26,42.47,41.35,42.47,41.17,6377,26651245.0,3.06,-2.52,-1.07,3.96
2020-03-27,41.88,41.25,41.99,41.0,6808,28357919.0,2.39,-0.24,-0.1,4.23
2020-03-30,40.86,38.91,40.86,38.38,8695,34185257.0,6.01,-5.67,-2.34,5.4
2020-03-31,39.49,38.73,39.65,38.65,4121,16140903.0,2.57,-0.46,-0.18,2.56
2020-04-01,38.2,38.74,39.49,38.2,4896,19133560.0,3.33,0.03,0.01,3.04
2020-04-02,38.8,40.23,40.23,38.44,6898,27215818.0,4.62,3.85,1.49,4.28
2020-04-03,40.36,39.3,40.49,39.06,4906,19456597.0,3.55,-2.31,-0.93,3.05
2020-04-07,40.2,40.42,40.76,40.1,5691,23014624.0,1.68,2.85,1.12,3.53
2020-04-08,40.21,40.42,40.95,40.05,4704,19027971.0,2.23,0.0,0.0,2.92
2020-04-09,40.7,40.44,40.7,40.23,4654,18804627.0,1.16,0.05,0.02,2.89
2020-04-10,40.64,39.12,40.75,38.6,6152,24189201.0,5.32,-3.26,-1.32,3.82
2020-04-13,38.98,38.48,39.0,38.11,3038,11695867.0,2.28,-1.64,-0.64,1.89
2020-04-14,38.66,39.3,39.3,38.66,4245,16592891.0,1.66,2.13,0.82,2.64
2020-04-15,39.48,39.28,39.78,38.97,4269,16798260.0,2.06,-0.05,-0.02,2.65
2020-04-16,38.95,39.42,39.55,38.81,3815,14997003.0,1.88,0.36,0.14,2.37
2020-04-17,39.74,39.59,40.3,39.45,7272,29033538.0,2.16,0.43,0.17,4.52
2020-04-20,39.62,40.14,40.16,39.31,4712,18741139.0,2.15,1.39,0.55,2.93
2020-04-21,40.01,40.55,40.59,39.31,6047,24165426.0,3.19,1.02,0.41,3.76
2020-04-22,40.01,41.09,41.18,39.83,7983,32469514.0,3.33,1.33,0.54,4.96
2020-04-23,41.23,40.7,41.28,40.62,7019,28682753.0,1.61,-0.95,-0.39,4.36
2020-04-24,40.98,41.15,41.57,40.35,8786,35943612.0,3.0,1.11,0.45,5.46
